CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1561.64,1561.23,1561.430000,-0.78000000,closeByStopLossNonProfitable,buy
1561.64,1561.24,1561.440000,-0.70000000,closeByStopLossNonProfitable,buy
1561.14,1560.95,1561.130000,-0.71000000,closeByStopLossNonProfitable,buy
1561.14,1560.95,1561.130000,-0.72000000,closeByStopLossNonProfitable,buy
1561.14,1560.95,1561.130000,-0.79000000,closeByStopLossNonProfitable,buy
1561.02,1561.22,1561.370000,0.29000000,closeByStopLossProfitable,sell
1561.02,1561.22,1561.370000,0.26000000,closeByStopLossProfitable,sell
1561.02,1561.22,1561.370000,0.13000000,closeByStopLossProfitable,sell
1561.02,1561.22,1561.370000,0.08000000,closeByStopLossProfitable,sell
1561.02,1561.22,1561.370000,-0.04000000,closeByStopLossNonProfitable,sell
1561.02,1561.22,1561.370000,-0.13000000,closeByStopLossNonProfitable,sell
1561.07,1561.17,1561.360000,-0.48000000,closeByStopLossNonProfitable,sell
1561.07,1561.17,1561.360000,-0.46000000,closeByStopLossNonProfitable,sell
1561.07,1561.17,1561.360000,-0.53000000,closeByStopLossNonProfitable,sell
1561.07,1561.17,1561.360000,-0.60000000,closeByStopLossNonProfitable,sell
1560.89,1561.2,1561.360000,-0.68000000,closeByStopLossNonProfitable,sell
1559.87,1560,1560.150000,-0.10000000,closeByStopLossNonProfitable,buy
1559.88,1560.02,1560.170000,0.00000000,closeByStopLossNonProfitable,buy
1559.88,1560.02,1560.170000,0.12000000,closeByStopLossProfitable,buy
1559.88,1560.02,1560.170000,-0.03000000,closeByStopLossNonProfitable,buy
1559.88,1560.02,1560.170000,0.01000000,closeByStopLossProfitable,buy
1560.02,1560.02,1560.160000,-0.15000000,closeByStopLossNonProfitable,buy
1560.13,1559.99,1560.130000,-0.31000000,closeByStopLossNonProfitable,buy
1560.13,1559.99,1560.130000,-0.35000000,closeByStopLossNonProfitable,buy
1560.13,1559.99,1560.130000,-0.30000000,closeByStopLossNonProfitable,buy
